Action,3797
Sports,1916
Shooter,1610
Racing,1228
Adventure,1175
Strategy,1071
RPG,980
Platformer,823
Puzzle,776
"Action, Adventure",765
Simulation,567
Fighting,547
Music,371
"Action, RPG",330
"Racing, Action",210
"Puzzle, Action",200
"Sports, Action",196
Party,141
Wrestling,134
"Flight, Action",125
Trivia,119
Board,116
Hunting,112
Card,108
"Action, Compilation",89
Virtual Pet,82
Pinball,77
"Fighting, Action",77
"Strategy, RPG",77
Compilation,54
"Card, Battle",54
"Puzzle, Adventure",47
"Sports, Simulation",44
"Music, Action",39
Productivity,39
"Flight, Simulation",37
Battle,32
"Action, Simulation",32
Casino,31
"Educational, Puzzle",25
"Racing, Simulation",25
Flight,24
"Shooter, RPG",22
Educational,20
Other,20
"Sports, Compilation",14
"Fighting, Compilation",13
"Adventure, Compilation",11
"Educational, Action",11
"Platformer, Action",11
"Card, RPG",9
"Puzzle, Compilation",9
"Platformer, Adventure",8
"RPG, Simulation",8
"Board, Compilation",7
"Music, Editor",6
"Puzzle, Word Game",6
"Fighting, Adventure",5
"Sports, Racing",5
"Educational, Productivity",5
"Adventure, Adventure",5
"RPG, Compilation",4
"Adventure, Episodic",4
"Shooter, First-Person",4
"Music, Compilation",4
"Action, Platformer",3
"Sports, Baseball",3
"Adventure, RPG",3
"Educational, Adventure",3
"Racing, Editor",3
"Shooter, Platformer",3
"Fighting, Simulation",3
"Flight, Racing",3
"Card, Compilation",3
"Racing, Shooter",2
"RPG, Editor",2
"Racing, Compilation",2
"Productivity, Action",2
"Compilation, RPG",2
"Educational, Trivia",2
Hardware,2
"Fighting, RPG",2
"Adult, Card",2
"Hunting, Action",2
"Educational, Simulation",2
"Strategy, Compilation",1
"Shooter, Adventure",1
"Simulation, Adventure",1
"Compilation, Compilation",1
"Hunting, Simulation",1
"Adventure, Platformer",1
"Sports, Fighting",1
"Other, Action",1
"Puzzle, Platformer",1
"Action, Strategy",1
"Sports, Editor",1
"Music, Adventure",1
"Action, Puzzle",1
"Strategy, Simulation",1
"RPG, Action",1
Baseball,1
"Adventure, Adult",1
"Sports, Golf",1
"Other, Adventure",1
"Sports, Other",1
"Sports, Party",1
"Pinball, Compilation",1
"Puzzle, RPG",1
"Educational, Card",1
"Wrestling, Simulation",1
"Action, Editor",1
"Music, RPG",1
