Year,Org_Type,ONS_Code,Org_Code,Org_Name,Classification,Metric_Primary,Value
2015/16,National,E92000001,,England,FAE_Primary_Obesity,All persons,"9,929"
2015/16,Region,E12000001,A,North East,FAE_Primary_Obesity,All persons,"1,593"
2015/16,Region,E12000002,B,North West,FAE_Primary_Obesity,All persons,873
2015/16,Region,E12000003,D,Yorkshire and the Humber,FAE_Primary_Obesity,All persons,674
2015/16,Region,E12000004,E,East Midlands,FAE_Primary_Obesity,All persons,355
2015/16,Region,E12000005,F,West Midlands,FAE_Primary_Obesity,All persons,"1,463"
2015/16,Region,E12000006,G,East of England,FAE_Primary_Obesity,All persons,688
2015/16,Region,E12000007,H,London,FAE_Primary_Obesity,All persons,"2,127"
2015/16,Region,E12000008,J,South East,FAE_Primary_Obesity,All persons,"1,399"
2015/16,Region,E12000009,K,South West,FAE_Primary_Obesity,All persons,757
2015/16,LocalAuthority,E06000001,111,Hartlepool,FAE_Primary_Obesity,All persons,50
2015/16,LocalAuthority,E06000002,112,Middlesbrough,FAE_Primary_Obesity,All persons,74
2015/16,LocalAuthority,E06000003,113,Redcar and Cleveland,FAE_Primary_Obesity,All persons,57
2015/16,LocalAuthority,E06000004,114,Stockton-on-Tees,FAE_Primary_Obesity,All persons,114
2015/16,LocalAuthority,E06000005,117,Darlington,FAE_Primary_Obesity,All persons,42
2015/16,LocalAuthority,E06000006,321,Halton,FAE_Primary_Obesity,All persons,17
2015/16,LocalAuthority,E06000007,322,Warrington,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E06000008,324,Blackburn with Darwen,FAE_Primary_Obesity,All persons,21
2015/16,LocalAuthority,E06000009,325,Blackpool,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E06000010,215,"Kingston upon Hull, City of",FAE_Primary_Obesity,All persons,34
2015/16,LocalAuthority,E06000011,214,East Riding of Yorkshire,FAE_Primary_Obesity,All persons,28
2015/16,LocalAuthority,E06000012,216,North East Lincolnshire,FAE_Primary_Obesity,All persons,24
2015/16,LocalAuthority,E06000013,217,North Lincolnshire,FAE_Primary_Obesity,All persons,32
2015/16,LocalAuthority,E06000014,219,York,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E06000015,507,Derby,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E06000016,509,Leicester,FAE_Primary_Obesity,All persons,24
2015/16,LocalAuthority,E06000017,510,Rutland                                                                         ,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E06000018,512,Nottingham,FAE_Primary_Obesity,All persons,17
2015/16,LocalAuthority,E06000019,415,"Herefordshire, County of",FAE_Primary_Obesity,All persons,34
2015/16,LocalAuthority,E06000020,418,Telford and Wrekin,FAE_Primary_Obesity,All persons,117
2015/16,LocalAuthority,E06000021,414,Stoke-on-Trent,FAE_Primary_Obesity,All persons,151
2015/16,LocalAuthority,E06000022,908,Bath and North East Somerset,FAE_Primary_Obesity,All persons,11
2015/16,LocalAuthority,E06000023,909,"Bristol, City of",FAE_Primary_Obesity,All persons,67
2015/16,LocalAuthority,E06000024,910,North Somerset,FAE_Primary_Obesity,All persons,24
2015/16,LocalAuthority,E06000025,911,South Gloucestershire,FAE_Primary_Obesity,All persons,43
2015/16,LocalAuthority,E06000026,913,Plymouth,FAE_Primary_Obesity,All persons,64
2015/16,LocalAuthority,E06000027,914,Torbay,FAE_Primary_Obesity,All persons,7
2015/16,LocalAuthority,E06000028,810,Bournemouth,FAE_Primary_Obesity,All persons,22
2015/16,LocalAuthority,E06000029,811,Poole,FAE_Primary_Obesity,All persons,19
2015/16,LocalAuthority,E06000030,819,Swindon,FAE_Primary_Obesity,All persons,27
2015/16,LocalAuthority,E06000031,624,Peterborough,FAE_Primary_Obesity,All persons,24
2015/16,LocalAuthority,E06000032,611,Luton,FAE_Primary_Obesity,All persons,71
2015/16,LocalAuthority,E06000033,621,Southend-on-Sea,FAE_Primary_Obesity,All persons,21
2015/16,LocalAuthority,E06000034,622,Thurrock,FAE_Primary_Obesity,All persons,27
2015/16,LocalAuthority,E06000035,821,Medway,FAE_Primary_Obesity,All persons,90
2015/16,LocalAuthority,E06000036,614,Bracknell Forest,FAE_Primary_Obesity,All persons,21
2015/16,LocalAuthority,E06000037,615,West Berkshire,FAE_Primary_Obesity,All persons,24
2015/16,LocalAuthority,E06000038,616,Reading,FAE_Primary_Obesity,All persons,23
2015/16,LocalAuthority,E06000039,617,Slough,FAE_Primary_Obesity,All persons,20
2015/16,LocalAuthority,E06000040,618,Windsor and Maidenhead,FAE_Primary_Obesity,All persons,8
2015/16,LocalAuthority,E06000041,619,Wokingham,FAE_Primary_Obesity,All persons,14
2015/16,LocalAuthority,E06000042,613,Milton Keynes,FAE_Primary_Obesity,All persons,34
2015/16,LocalAuthority,E06000043,816,Brighton and Hove,FAE_Primary_Obesity,All persons,46
2015/16,LocalAuthority,E06000044,813,Portsmouth,FAE_Primary_Obesity,All persons,93
2015/16,LocalAuthority,E06000045,814,Southampton,FAE_Primary_Obesity,All persons,47
2015/16,LocalAuthority,E06000046,803,Isle of Wight,FAE_Primary_Obesity,All persons,13
2015/16,LocalAuthority,E06000047,116,County Durham,FAE_Primary_Obesity,All persons,425
2015/16,LocalAuthority,E06000049,326,Cheshire East,FAE_Primary_Obesity,All persons,43
2015/16,LocalAuthority,E06000050,327,Cheshire West and Chester,FAE_Primary_Obesity,All persons,50
2015/16,LocalAuthority,E06000051,417,Shropshire,FAE_Primary_Obesity,All persons,77
2015/16,LocalAuthority,E06000052,902,Cornwall,FAE_Primary_Obesity,All persons,148
2015/16,LocalAuthority,E06000053,906,Isles of Scilly,FAE_Primary_Obesity,All persons,0
2015/16,LocalAuthority,E06000054,817,Wiltshire,FAE_Primary_Obesity,All persons,52
2015/16,LocalAuthority,E06000055,625,Bedford,FAE_Primary_Obesity,All persons,22
2015/16,LocalAuthority,E06000056,626,Central Bedfordshire,FAE_Primary_Obesity,All persons,33
2015/16,LocalAuthority,E06000057,104,Northumberland,FAE_Primary_Obesity,All persons,103
2015/16,LocalAuthority,E08000001,304,Bolton,FAE_Primary_Obesity,All persons,54
2015/16,LocalAuthority,E08000002,305,Bury,FAE_Primary_Obesity,All persons,12
2015/16,LocalAuthority,E08000003,306,Manchester,FAE_Primary_Obesity,All persons,91
2015/16,LocalAuthority,E08000004,307,Oldham,FAE_Primary_Obesity,All persons,27
2015/16,LocalAuthority,E08000005,308,Rochdale,FAE_Primary_Obesity,All persons,32
2015/16,LocalAuthority,E08000006,309,Salford,FAE_Primary_Obesity,All persons,28
2015/16,LocalAuthority,E08000007,310,Stockport,FAE_Primary_Obesity,All persons,27
2015/16,LocalAuthority,E08000008,311,Tameside,FAE_Primary_Obesity,All persons,17
